URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://terminology.hl7.org.au/ValueSet/pbs-item,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.2.4.8",PBSItemCodes,PBS Item Codes,"The PBS Item Codes value set includes all values from Australian Pharmaceutical Benefits Scheme (PBS) schedule published by the Department of Health. Further details can be found at https://www.pbs.gov.au/pbs/.","StructureDefinition/au-medicationstatement,StructureDefinition/au-medicationrequest,StructureDefinition/au-medicationdispense,StructureDefinition/au-medicationadministration,StructureDefinition/au-medication","Internal"
http://terminology.hl7.org.au/ValueSet/rsg-source,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.2.4.42",AURecordedSexOrGenderSource,AU Recorded Sex or Gender (RSG) Source,"The AU Recorded Sex or Gender (RSG) Source value set includes codes that can be used to represent the non-document source where the sex or gender value is recorded.",,"Internal"
http://terminology.hl7.org.au/ValueSet/rsg-source-document-type,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.2.4.32",AURecordedSexOrGenderSourceDocumentType,AU Recorded Sex or Gender (RSG) Source Document Type,"The AU Recorded Sex or Gender (RSG) Source Document Type value set includes codes that can be used to represent the type of document where this sex or gender value is recorded.",,"Internal,LOINC"
http://terminology.hl7.org.au/ValueSet/rsg-type,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.2.4.31",AURecordedSexOrGenderType,AU Recorded Sex or Gender Type,"The AU Recorded Sex or Gender Type value set includes codes that can be used to represent the type or category of sex or gender that is recorded.",,"SCT,Internal,LOINC"
http://terminology.hl7.org.au/ValueSet/service-provision-conditions,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.2.4.2",ServiceProvisionConditionsAustralianConcepts,Service Provision Conditions Australian Concepts,"The Service Provision Conditions Australian Concepts value set includes values that may be used to identify the type of service provision conditions in an Australian context.","StructureDefinition/au-healthcareservice","Internal"
http://terminology.hl7.org.au/ValueSet/v2-0203-extended,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.2.3.203",Hl7VSIdentifierTypeAUExtended,hl7VS-identifierType - AU Extended,"Extended value set of identifier types for use in an Australian context. Includes HL7 international codes plus Australian additions to create a complete set. NOTE: codes contained LACN Laboratory Accession ID and ACN Accession ID are exclusive concepts and not consider related in this terminology.",,"THO (V2),Internal"
http://terminology.hl7.org.au/ValueSet/v2-0360-extended,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.2.3.360",Hl7VSDegreeLicenseCertificateAUExtended,hl7VS-degreeLicenseCertificate - AU Extended,"hl7VS-degreeLicenseCertificate extended for use in an Australian context. Includes HL7 international codes plus Australian additions to create a complete set.","StructureDefinition/au-practitioner","Internal"
http://terminology.hl7.org.au/ValueSet/v2-0443-extended,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.2.3.443",Hl7VSProviderRoleAUExtended,hl7VS-providerRole - AU Extended,"hl7VS-providerRole extended for use in an Australian context. Includes HL7 international codes plus Australian additions to create a complete set.","StructureDefinition/au-immunization","THO (V2),Internal"
http://terminology.hl7.org.au/ValueSet/v3-ActEncounterCode-extended,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.2.4.20",ActEncounterCodeAUExtended,ActEncounterCode - AU Extended,"v3 Act Encounter Code extended for use in an Australian context. Includes HL7 international codes plus Australian additions to create a complete set.","StructureDefinition/au-encounter","Internal"
http://terminology.hl7.org.au/ValueSet/v3-ServiceDeliveryLocationRoleType-extended,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.2.4.26",ServiceDeliveryLocationRoleTypeAUExtended,ServiceDeliveryLocationRoleType - AU Extended,"ServiceDeliveryLocationRoleType extended for use in an Australian context. Includes HL7 international codes plus Australian additions to create a complete set.","StructureDefinition/au-location","Internal"
