URL,Version,Status,OIDs,Name,Title,Description,Used
http://terminology.hl7.org/CodeSystem/coverage-selfpay,1.0.1,active,"2.16.840.1.113883.4.642.1.1148",CoverageSelfPayCodes,Coverage SelfPay Codes,"This value set includes Coverage SelfPay codes.","ValueSet/au-coverage-type-extended"
http://terminology.hl7.org/CodeSystem/v2-0074,3.0.0,active,"2.16.840.1.113883.18.29",DiagnosticServiceSectionId,diagnosticServiceSectionId,"HL7-defined code system of concepts which specify a section of a diagnostic service where the observation may be performed.  Used in HL7 Version 2.x messaging in the OBR and OM4 segments.","ValueSet/diagnostic-service-sections,ValueSet/pathology-diagnostic-service-category-1"
http://terminology.hl7.org/CodeSystem/v2-0203,5.0.0,active,"2.16.840.1.113883.18.108",IdentifierType,identifierType,"HL7-defined code system of concepts specifying type of identifier. Used in HL7 Version 2.x messaging data types CX, PLN, PPN, XCN and XON.","ValueSet/au-v2-0203-extended,ValueSet/order-identifier-type,ValueSet/accession-number-type"
http://terminology.hl7.org/CodeSystem/v2-0443,3.0.0,active,"2.16.840.1.113883.18.283",ProviderRole,providerRole,"Code system of concepts specifying the functional involvement with the activity being transmitted (e.g., Case Manager, Evaluator, Transcriber, Nurse Care Practitioner, Midwife, Physician Assistant, etc.).  Used in HL7 Version 2.x messaging in the ROL segment.","ValueSet/au-v2-0443-extended"
http://terminology.hl7.org/CodeSystem/v3-ActCode,10.0.0,active,"2.16.840.1.113883.5.4",ActCode,ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.    *Constraints:* The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems. The coding system will depend on the class of Act, such as LOINC for observations, etc.    Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure.    Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","ValueSet/v3-GTIN"
http://www.mims.com.au/codes,6.0.1-ci-build,active,"1.2.36.1.2001.1005.11.1",MIMS,Monthly Index of Medical Specialties (MIMS),"This CodeSystem resource represents the Monthly Index of Medical Specialties (MIMS) code system published by MIMS Australia. The intended use of MIMS data is to fully specify the product as a combination of product code, form code, and pack code. For example, when providing a MIMS Code within a Clinical Document Architecture (CDA) document, the MIMS code will be a minimum of 5 digits (in most cases, will be 8 digits).This is not the canonical publication of this code system nor it is intended to be publication on behalf of the MIMS Australia. For the complete content of the code system contact the publisher.","ValueSet/mims"
https://healthterminologies.gov.au/fhir/CodeSystem/australian-indigenous-status-1,1.0.5,active,"1.2.36.1.2001.1004.200.10012",AustralianIndigenousStatus,Australian Indigenous Status,"The Australian Indigenous Status code system defines concepts to support the representation of a person's indigenous status. That is, whether a person identifies as being of Aboriginal or Torres Strait Islander origin, as represented by a code. The concepts defined in this code system are equivalent to those defined in the value domain for the METEOR data element Person—Indigenous status, code N (https://meteor.aihw.gov.au/content/602543)","ValueSet/australian-indigenous-status-1"
https://healthterminologies.gov.au/fhir/CodeSystem/australian-states-territories-1,1.1.3,active,"1.2.36.1.2001.1004.200.10013",AustralianStatesAndTerritories,Australian States and Territories,"The Australian States and Territories code system defines concepts that represent the Australian states and territories.","ValueSet/au-jurisdiction-extended,ValueSet/australian-states-territories-2"
https://healthterminologies.gov.au/fhir/CodeSystem/australian-veteran-status-1,1.0.0,active,"1.2.36.1.2001.1004.200.10036",AustralianVeteranStatus,Australian Veteran Status,"The Australian Veteran Status code system defines concepts to support the representation of a person's veteran status in the Australian Defence Force. The concepts in  this code system are equivalent to those defined in the METeOR value domains for Person-ADF veteran status, code N for https://meteor.aihw.gov.au/content/index.phtml/itemId/737931 and https://meteor.aihw.gov.au/content/index.phtml/itemId/743004.","ValueSet/australian-veteran-status-1"
https://healthterminologies.gov.au/fhir/CodeSystem/concurrent-supply-grounds-1,1.0.3,active,"1.2.36.1.2001.1001.101.104.16085",ConcurrentSupplyGrounds,Concurrent Supply Grounds,"The Concurrent Supply Grounds code system defines concepts for the grounds that authorise a subsidy for the concurrent supply of an item specified in a prescription and all of its repeats.","ValueSet/concurrent-supply-grounds-1"
https://healthterminologies.gov.au/fhir/CodeSystem/date-accuracy-indicator-1,1.0.3,active,"1.2.36.1.2001.1004.200.10014",DateAccuracyIndicator,Date Accuracy Indicator,"The Date Accuracy Indicator code system defines concepts that indicate the accuracy of components of a reported date. The concepts defined in this code system are equivalent to those defined in the METeOR value domains for Date—accuracy indicator, code AAA (http://meteor.aihw.gov.au/content/index.phtml/itemId/294429).","ValueSet/date-accuracy-indicator-1"
https://healthterminologies.gov.au/fhir/CodeSystem/ihi-record-status-1,1.0.3,active,"1.2.36.1.2001.1004.200.10016",IndividualHealthcareIdentifierRecordStatus,Individual Healthcare Identifier Record Status,"The Individual Healthcare Identifier Record Status code system defines concepts that may be used to describe the classification status of a record of an Individual Healthcare Identifier.","ValueSet/ihi-record-status-1"
https://healthterminologies.gov.au/fhir/CodeSystem/ihi-status-1,1.0.3,active,"1.2.36.1.2001.1004.200.10015",IndividualHealthcareIdentifierStatus,Individual Healthcare Identifier Status,"The Individual Healthcare Identifier Status code system defines concepts that may be used to describe the classification status of an Individual Healthcare Identifier.","ValueSet/ihi-status-1"
https://www.humanservices.gov.au/organisations/health-professionals/enablers/air-vaccine-code-formats,20210222,active,"1.2.36.1.2001.1005.17",AustralianImmunisationRegisterVaccine,Australian Immunisation Register Vaccine,"The Australian Immunisation Register Vaccine code system defines the vaccine codes available for recording of vaccine administration on the Australian Immunisation Register, and may be used for online claiming and reimbursement for vaccine administration through Medicare.","ValueSet/australian-immunisation-register-vaccine-1"
https://www.iana.org/time-zones,20210124,active,,IANA_Timezones,IANA Timezones,"Codes defined at https://www.iana.org/time-zones","ValueSet/au-timezone"
urn:ietf:bcp:47,2.0.1,active,,Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/common-languages-australia-2"
