Fragment,Count,Time (ms),Size (bytes)
Cross.list-name-researchstudies-xml,1,0,0
Cross.list-name-researchsubjects,1,1,0
Cross.list-name-researchsubjects-json,1,1,0
Cross.list-name-researchsubjects-xml,1,1,0
Cross.list-name-riskassessments,1,0,0
Cross.list-name-riskassessments-json,1,0,0
Cross.list-name-riskassessments-xml,1,1,0
Cross.list-name-riskevidencesyntheses,1,0,0
Cross.list-name-riskevidencesyntheses-json,1,0,0
Cross.list-name-riskevidencesyntheses-xml,1,0,0
Cross.list-name-schedules,1,1,0
Cross.list-name-schedules-json,1,1,0
Cross.list-name-schedules-xml,1,1,0
Cross.list-name-searchparameters,1,0,862
Cross.list-name-searchparameters-json,1,1,882
Cross.list-name-searchparameters-xml,1,1,878
Cross.list-name-servicerequests,1,0,373
Cross.list-name-servicerequests-json,1,1,383
Cross.list-name-servicerequests-xml,1,1,381
Cross.list-name-slots,1,0,0
Cross.list-name-slots-json,1,1,0
Cross.list-name-slots-xml,1,1,0
Cross.list-name-specimen,1,0,134
Cross.list-name-specimen-json,1,1,139
Cross.list-name-specimen-xml,1,1,138
Cross.list-name-specimendefinitions,1,0,0
Cross.list-name-specimendefinitions-json,1,0,0
Cross.list-name-specimendefinitions-xml,1,0,0
Cross.list-name-structuredefinitions,1,18,59942
Cross.list-name-structuredefinitions-json,1,19,60487
Cross.list-name-structuredefinitions-xml,1,20,60378
Cross.list-name-structuremaps,1,0,0
Cross.list-name-structuremaps-json,1,0,0
Cross.list-name-structuremaps-xml,1,0,0
Cross.list-name-subscriptions,1,0,0
Cross.list-name-subscriptions-json,1,0,0
Cross.list-name-subscriptions-xml,1,0,0
Cross.list-name-subscriptiontopics,1,0,0
Cross.list-name-subscriptiontopics-json,1,0,0
Cross.list-name-subscriptiontopics-xml,1,0,0
Cross.list-name-substancenucleicacids,1,0,0
Cross.list-name-substancenucleicacids-json,1,0,0
Cross.list-name-substancenucleicacids-xml,1,1,0
Cross.list-name-substancepolymers,1,0,0
Cross.list-name-substancepolymers-json,1,0,0
Cross.list-name-substancepolymers-xml,1,0,0
Cross.list-name-substanceproteins,1,0,0
Cross.list-name-substanceproteins-json,1,0,0
Cross.list-name-substanceproteins-xml,1,1,0
Cross.list-name-substancereferenceinformations,1,0,0
Cross.list-name-substancereferenceinformations-json,1,0,0
Cross.list-name-substancereferenceinformations-xml,1,0,0
Cross.list-name-substances,1,0,292
Cross.list-name-substances-json,1,0,302
Cross.list-name-substances-xml,1,1,300
Cross.list-name-substancesourcematerials,1,1,0
Cross.list-name-substancesourcematerials-json,1,1,0
Cross.list-name-substancesourcematerials-xml,1,1,0
Cross.list-name-substancespecifications,1,0,0
Cross.list-name-substancespecifications-json,1,1,0
Cross.list-name-substancespecifications-xml,1,1,0
Cross.list-name-supplydeliveries,1,0,0
Cross.list-name-supplydeliveries-json,1,1,0
Cross.list-name-supplydeliveries-xml,1,1,0
Cross.list-name-supplyrequests,1,0,0
Cross.list-name-supplyrequests-json,1,0,0
Cross.list-name-supplyrequests-xml,1,0,0
Cross.list-name-tasks,1,0,0
Cross.list-name-tasks-json,1,0,0
Cross.list-name-tasks-xml,1,0,0
Cross.list-name-terminologycapabilities,1,0,0
Cross.list-name-terminologycapabilities-json,1,0,0
Cross.list-name-terminologycapabilities-xml,1,1,0
Cross.list-name-testplans,1,0,0
Cross.list-name-testplans-json,1,0,0
Cross.list-name-testplans-xml,1,1,0
Cross.list-name-testreports,1,0,0
Cross.list-name-testreports-json,1,1,0
Cross.list-name-testreports-xml,1,1,0
Cross.list-name-testscripts,1,0,0
Cross.list-name-testscripts-json,1,0,0
Cross.list-name-testscripts-xml,1,1,0
Cross.list-name-valuesets,1,2,5843
Cross.list-name-valuesets-json,1,3,5958
Cross.list-name-valuesets-xml,1,3,5935
Cross.list-name-verificationresults,1,0,0
Cross.list-name-verificationresults-json,1,1,0
Cross.list-name-verificationresults-xml,1,1,0
Cross.list-name-visionprescriptions,1,0,0
Cross.list-name-visionprescriptions-json,1,0,0
Cross.list-name-visionprescriptions-xml,1,0,0
Cross.list-namingsystems,1,0,0
Cross.list-namingsystems-json,1,0,0
Cross.list-namingsystems-xml,1,1,0
Cross.list-nutritionorders,1,0,0
Cross.list-nutritionorders-json,1,0,0
Cross.list-nutritionorders-xml,1,0,0
Cross.list-observationdefinitions,1,0,0
Cross.list-observationdefinitions-json,1,1,0
Cross.list-observationdefinitions-xml,1,1,0
Cross.list-observations,1,0,991
Cross.list-observations-json,1,0,1016
Cross.list-observations-xml,1,1,1011
Cross.list-operationdefinitions,1,0,0
Cross.list-operationdefinitions-json,1,0,0
Cross.list-operationdefinitions-xml,1,1,0
Cross.list-operationoutcomes,1,0,0
Cross.list-operationoutcomes-json,1,0,0
Cross.list-operationoutcomes-xml,1,1,0
Cross.list-organizationaffiliations,1,0,0
Cross.list-organizationaffiliations-json,1,0,0
Cross.list-organizationaffiliations-xml,1,1,0
Cross.list-organizations,1,1,1132
Cross.list-organizations-json,1,1,1182
Cross.list-organizations-xml,1,1,1172
Cross.list-parameters,1,0,0
Cross.list-parameters-json,1,0,0
Cross.list-parameters-xml,1,1,0
Cross.list-patients,1,1,3126
Cross.list-patients-json,1,1,3221
Cross.list-patients-xml,1,1,3202
Cross.list-paymentnotices,1,0,0
Cross.list-paymentnotices-json,1,0,0
Cross.list-paymentnotices-xml,1,1,0
Cross.list-paymentreconciliations,1,0,0
Cross.list-paymentreconciliations-json,1,0,0
Cross.list-paymentreconciliations-xml,1,0,0
Cross.list-people,1,0,0
Cross.list-people-json,1,0,0
Cross.list-people-xml,1,1,0
Cross.list-plandefinitions,1,0,0
Cross.list-plandefinitions-json,1,1,0
Cross.list-plandefinitions-xml,1,1,0
Cross.list-practitionerroles,1,1,835
Cross.list-practitionerroles-json,1,1,860
Cross.list-practitionerroles-xml,1,1,855
Cross.list-practitioners,1,0,972
Cross.list-practitioners-json,1,0,1002
Cross.list-practitioners-xml,1,1,996
Cross.list-procedures,1,1,438
Cross.list-procedures-json,1,1,453
Cross.list-procedures-xml,1,1,450
Cross.list-profiles,1,2,20079
Cross.list-profiles-mm,1,2,23181
Cross.list-provenances,1,0,0
Cross.list-provenances-json,1,0,0
Cross.list-provenances-xml,1,0,0
Cross.list-questionnaireresponses,1,0,0
Cross.list-questionnaireresponses-json,1,0,0
Cross.list-questionnaireresponses-xml,1,1,0
Cross.list-questionnaires,1,0,0
Cross.list-questionnaires-json,1,0,0
Cross.list-questionnaires-xml,1,0,0
Cross.list-relatedpeople,1,0,832
Cross.list-relatedpeople-json,1,0,857
Cross.list-relatedpeople-xml,1,0,852
Cross.list-requestgroups,1,0,0
Cross.list-requestgroups-json,1,1,0
Cross.list-requestgroups-xml,1,1,0
Cross.list-requirements,1,0,0
Cross.list-requirements-json,1,0,0
Cross.list-requirements-xml,1,0,0
Cross.list-researchdefinitions,1,0,0
Cross.list-researchdefinitions-json,1,0,0
Cross.list-researchdefinitions-xml,1,1,0
Cross.list-researchelementdefinitions,1,0,0
Cross.list-researchelementdefinitions-json,1,0,0
Cross.list-researchelementdefinitions-xml,1,0,0
Cross.list-researchstudies,1,0,0
Cross.list-researchstudies-json,1,0,0
Cross.list-researchstudies-xml,1,1,0
Cross.list-researchsubjects,1,0,0
Cross.list-researchsubjects-json,1,0,0
Cross.list-researchsubjects-xml,1,0,0
Cross.list-riskassessments,1,0,0
Cross.list-riskassessments-json,1,0,0
Cross.list-riskassessments-xml,1,0,0
Cross.list-riskevidencesyntheses,1,0,0
Cross.list-riskevidencesyntheses-json,1,0,0
Cross.list-riskevidencesyntheses-xml,1,1,0
Cross.list-schedules,1,0,0
Cross.list-schedules-json,1,0,0
Cross.list-schedules-xml,1,1,0
Cross.list-searchparameters,1,1,862
Cross.list-searchparameters-json,1,1,882
Cross.list-searchparameters-xml,1,1,878
Cross.list-servicerequests,1,0,373
Cross.list-servicerequests-json,1,0,383
Cross.list-servicerequests-xml,1,0,381
Cross.list-simple-accounts,1,0,0
Cross.list-simple-accounts-json,1,1,0
Cross.list-simple-accounts-xml,1,1,0
Cross.list-simple-activitydefinitions,1,0,0
Cross.list-simple-activitydefinitions-json,1,1,0
Cross.list-simple-activitydefinitions-xml,1,1,0
Cross.list-simple-actordefinitions,1,0,0
Cross.list-simple-actordefinitions-json,1,1,0
Cross.list-simple-actordefinitions-xml,1,1,0
Cross.list-simple-adverseevents,1,1,0
Cross.list-simple-adverseevents-json,1,1,0
Cross.list-simple-adverseevents-xml,1,1,0
Cross.list-simple-allergyintolerances,1,0,344
Cross.list-simple-allergyintolerances-json,1,0,364
Cross.list-simple-allergyintolerances-xml,1,1,360
Cross.list-simple-appointmentresponses,1,0,0
Cross.list-simple-appointmentresponses-json,1,0,0
Cross.list-simple-appointmentresponses-xml,1,0,0
Cross.list-simple-appointments,1,0,0
Cross.list-simple-appointments-json,1,1,0
Cross.list-simple-appointments-xml,1,1,0
Cross.list-simple-auditevents,1,0,0
Cross.list-simple-auditevents-json,1,1,0
Cross.list-simple-auditevents-xml,1,1,0
Cross.list-simple-basics,1,0,0
Cross.list-simple-basics-json,1,1,0
Cross.list-simple-basics-xml,1,1,0
Cross.list-simple-binaries,1,0,0
Cross.list-simple-binaries-json,1,1,0
Cross.list-simple-binaries-xml,1,1,0
Cross.list-simple-biologicallyderivedproducts,1,0,0
Cross.list-simple-biologicallyderivedproducts-json,1,0,0
Cross.list-simple-biologicallyderivedproducts-xml,1,1,0
Cross.list-simple-bodystructures,1,1,152
Cross.list-simple-bodystructures-json,1,1,162
Cross.list-simple-bodystructures-xml,1,1,160
Cross.list-simple-bundles,1,0,62
Cross.list-simple-bundles-json,1,1,67
Cross.list-simple-bundles-xml,1,1,66
Cross.list-simple-byid-accounts,1,1,0
Cross.list-simple-byid-accounts-json,1,1,0
Cross.list-simple-byid-accounts-xml,1,1,0
Cross.list-simple-byid-activitydefinitions,1,0,0
Cross.list-simple-byid-activitydefinitions-json,1,1,0
Cross.list-simple-byid-activitydefinitions-xml,1,1,0
Cross.list-simple-byid-actordefinitions,1,0,0
Cross.list-simple-byid-actordefinitions-json,1,1,0
Cross.list-simple-byid-actordefinitions-xml,1,1,0
Cross.list-simple-byid-adverseevents,1,0,0
Cross.list-simple-byid-adverseevents-json,1,1,0
Cross.list-simple-byid-adverseevents-xml,1,1,0
Cross.list-simple-byid-allergyintolerances,1,0,344
Cross.list-simple-byid-allergyintolerances-json,1,1,364
Cross.list-simple-byid-allergyintolerances-xml,1,1,360
Cross.list-simple-byid-appointmentresponses,1,0,0
Cross.list-simple-byid-appointmentresponses-json,1,1,0
Cross.list-simple-byid-appointmentresponses-xml,1,1,0
Cross.list-simple-byid-appointments,1,0,0
Cross.list-simple-byid-appointments-json,1,1,0
Cross.list-simple-byid-appointments-xml,1,1,0
Cross.list-simple-byid-auditevents,1,0,0
Cross.list-simple-byid-auditevents-json,1,0,0
Cross.list-simple-byid-auditevents-xml,1,1,0
Cross.list-simple-byid-basics,1,0,0
Cross.list-simple-byid-basics-json,1,0,0
Cross.list-simple-byid-basics-xml,1,1,0
Cross.list-simple-byid-binaries,1,0,0
Cross.list-simple-byid-binaries-json,1,1,0
Cross.list-simple-byid-binaries-xml,1,1,0
Cross.list-simple-byid-biologicallyderivedproducts,1,0,0
Cross.list-simple-byid-biologicallyderivedproducts-json,1,1,0
Cross.list-simple-byid-biologicallyderivedproducts-xml,1,1,0
Cross.list-simple-byid-bodystructures,1,1,152
Cross.list-simple-byid-bodystructures-json,1,1,162
Cross.list-simple-byid-bodystructures-xml,1,1,160
Cross.list-simple-byid-bundles,1,0,62
Cross.list-simple-byid-bundles-json,1,1,67
Cross.list-simple-byid-bundles-xml,1,1,66
Cross.list-simple-byid-capabilitystatements,1,0,0
Cross.list-simple-byid-capabilitystatements-json,1,0,0
Cross.list-simple-byid-capabilitystatements-xml,1,0,0
Cross.list-simple-byid-careplans,1,0,0
Cross.list-simple-byid-careplans-json,1,1,0
Cross.list-simple-byid-careplans-xml,1,1,0
Cross.list-simple-byid-careteams,1,0,0
Cross.list-simple-byid-careteams-json,1,1,0
Cross.list-simple-byid-careteams-xml,1,1,0
Cross.list-simple-byid-catalogentries,1,1,0
Cross.list-simple-byid-catalogentries-json,1,1,0
Cross.list-simple-byid-catalogentries-xml,1,1,0
Cross.list-simple-byid-chargeitemdefinitions,1,0,0
Cross.list-simple-byid-chargeitemdefinitions-json,1,0,0
Cross.list-simple-byid-chargeitemdefinitions-xml,1,1,0
Cross.list-simple-byid-chargeitems,1,0,0
Cross.list-simple-byid-chargeitems-json,1,0,0
Cross.list-simple-byid-chargeitems-xml,1,1,0
Cross.list-simple-byid-claimresponses,1,0,0
Cross.list-simple-byid-claimresponses-json,1,0,0
Cross.list-simple-byid-claimresponses-xml,1,1,0
Cross.list-simple-byid-claims,1,0,0
Cross.list-simple-byid-claims-json,1,1,0
Cross.list-simple-byid-claims-xml,1,1,0
Cross.list-simple-byid-clinicalimpressions,1,0,0
Cross.list-simple-byid-clinicalimpressions-json,1,0,0
Cross.list-simple-byid-clinicalimpressions-xml,1,1,0
Cross.list-simple-byid-codesystems,1,1,1602
Cross.list-simple-byid-codesystems-json,1,1,1697
Cross.list-simple-byid-codesystems-xml,1,2,1678
Cross.list-simple-byid-communicationrequests,1,0,0
Cross.list-simple-byid-communicationrequests-json,1,0,0
Cross.list-simple-byid-communicationrequests-xml,1,1,0
Cross.list-simple-byid-communications,1,0,0
Cross.list-simple-byid-communications-json,1,0,0
Cross.list-simple-byid-communications-xml,1,0,0
Cross.list-simple-byid-compartmentdefinitions,1,0,0
Cross.list-simple-byid-compartmentdefinitions-json,1,0,0
Cross.list-simple-byid-compartmentdefinitions-xml,1,1,0
Cross.list-simple-byid-compositions,1,0,280
Cross.list-simple-byid-compositions-json,1,0,295
Cross.list-simple-byid-compositions-xml,1,1,292
Cross.list-simple-byid-conceptmaps,1,0,0
Cross.list-simple-byid-conceptmaps-json,1,0,0
Cross.list-simple-byid-conceptmaps-xml,1,0,0
Cross.list-simple-byid-conditions,1,1,68
Cross.list-simple-byid-conditions-json,1,1,73
Cross.list-simple-byid-conditions-xml,1,1,72
Cross.list-simple-byid-consents,1,0,0
Cross.list-simple-byid-consents-json,1,0,0
Cross.list-simple-byid-consents-xml,1,1,0
Cross.list-simple-byid-contracts,1,0,0
Cross.list-simple-byid-contracts-json,1,1,0
Cross.list-simple-byid-contracts-xml,1,1,0
Cross.list-simple-byid-coverageeligibilityrequests,1,1,0
Cross.list-simple-byid-coverageeligibilityrequests-json,1,1,0
Cross.list-simple-byid-coverageeligibilityrequests-xml,1,1,0
Cross.list-simple-byid-coverageeligibilityresponses,1,1,0
Cross.list-simple-byid-coverageeligibilityresponses-json,1,1,0
Cross.list-simple-byid-coverageeligibilityresponses-xml,1,1,0
Cross.list-simple-byid-coverages,1,1,120
Cross.list-simple-byid-coverages-json,1,1,130
Cross.list-simple-byid-coverages-xml,1,1,128
Cross.list-simple-byid-detectedissues,1,0,0
Cross.list-simple-byid-detectedissues-json,1,0,0
Cross.list-simple-byid-detectedissues-xml,1,0,0
Cross.list-simple-byid-devicedefinitions,1,0,0
Cross.list-simple-byid-devicedefinitions-json,1,0,0
Cross.list-simple-byid-devicedefinitions-xml,1,1,0
Cross.list-simple-byid-devicemetrics,1,0,0
Cross.list-simple-byid-devicemetrics-json,1,0,0
Cross.list-simple-byid-devicemetrics-xml,1,0,0
Cross.list-simple-byid-devicerequests,1,0,0
Cross.list-simple-byid-devicerequests-json,1,0,0
Cross.list-simple-byid-devicerequests-xml,1,0,0
Cross.list-simple-byid-devices,1,0,62
Cross.list-simple-byid-devices-json,1,1,67
Cross.list-simple-byid-devices-xml,1,1,66
Cross.list-simple-byid-deviceusestatements,1,0,0
Cross.list-simple-byid-deviceusestatements-json,1,0,0
Cross.list-simple-byid-deviceusestatements-xml,1,0,0
Cross.list-simple-byid-diagnosticreports,1,0,0
Cross.list-simple-byid-diagnosticreports-json,1,1,0
Cross.list-simple-byid-diagnosticreports-xml,1,1,0
Cross.list-simple-byid-documentmanifests,1,0,0
Cross.list-simple-byid-documentmanifests-json,1,0,0
Cross.list-simple-byid-documentmanifests-xml,1,1,0
Cross.list-simple-byid-documentreferences,1,0,0
Cross.list-simple-byid-documentreferences-json,1,0,0
Cross.list-simple-byid-documentreferences-xml,1,0,0
Cross.list-simple-byid-domainresources,1,1,0
Cross.list-simple-byid-domainresources-json,1,1,0
Cross.list-simple-byid-domainresources-xml,1,1,0
Cross.list-simple-byid-effectevidencesyntheses,1,1,0
Cross.list-simple-byid-effectevidencesyntheses-json,1,1,0
Cross.list-simple-byid-effectevidencesyntheses-xml,1,1,0
Cross.list-simple-byid-encounters,1,0,136
Cross.list-simple-byid-encounters-json,1,0,146
Cross.list-simple-byid-encounters-xml,1,0,144
Cross.list-simple-byid-endpoints,1,0,165
Cross.list-simple-byid-endpoints-json,1,0,175
Cross.list-simple-byid-endpoints-xml,1,1,173
Cross.list-simple-byid-enrollmentrequests,1,0,0
Cross.list-simple-byid-enrollmentrequests-json,1,0,0
Cross.list-simple-byid-enrollmentrequests-xml,1,0,0
Cross.list-simple-byid-enrollmentresponses,1,0,0
Cross.list-simple-byid-enrollmentresponses-json,1,1,0
Cross.list-simple-byid-enrollmentresponses-xml,1,1,0
Cross.list-simple-byid-episodeofcares,1,1,0
Cross.list-simple-byid-episodeofcares-json,1,1,0
Cross.list-simple-byid-episodeofcares-xml,1,1,0
Cross.list-simple-byid-eventdefinitions,1,1,0
Cross.list-simple-byid-eventdefinitions-json,1,1,0
Cross.list-simple-byid-eventdefinitions-xml,1,1,0
Cross.list-simple-byid-evidences,1,0,0
Cross.list-simple-byid-evidences-json,1,0,0
Cross.list-simple-byid-evidences-xml,1,0,0
Cross.list-simple-byid-evidencevariables,1,0,0
Cross.list-simple-byid-evidencevariables-json,1,0,0
Cross.list-simple-byid-evidencevariables-xml,1,0,0
Cross.list-simple-byid-examplescenarios,1,0,0
Cross.list-simple-byid-examplescenarios-json,1,1,0
Cross.list-simple-byid-examplescenarios-xml,1,2,0
Cross.list-simple-byid-explanationofbenefits,1,0,0
Cross.list-simple-byid-explanationofbenefits-json,1,0,0
Cross.list-simple-byid-explanationofbenefits-xml,1,0,0
Cross.list-simple-byid-familymemberhistories,1,0,0
Cross.list-simple-byid-familymemberhistories-json,1,0,0
Cross.list-simple-byid-familymemberhistories-xml,1,0,0
Cross.list-simple-byid-flags,1,0,0
Cross.list-simple-byid-flags-json,1,1,0
Cross.list-simple-byid-flags-xml,1,1,0
Cross.list-simple-byid-goals,1,0,0
Cross.list-simple-byid-goals-json,1,0,0
Cross.list-simple-byid-goals-xml,1,0,0
Cross.list-simple-byid-graphdefinitions,1,0,0
Cross.list-simple-byid-graphdefinitions-json,1,1,0
Cross.list-simple-byid-graphdefinitions-xml,1,1,0
Cross.list-simple-byid-groups,1,1,0
Cross.list-simple-byid-groups-json,1,1,0
Cross.list-simple-byid-groups-xml,1,1,0
Cross.list-simple-byid-guidanceresponses,1,0,0
Cross.list-simple-byid-guidanceresponses-json,1,0,0
Cross.list-simple-byid-guidanceresponses-xml,1,0,0
Cross.list-simple-byid-healthcareservices,1,0,530
Cross.list-simple-byid-healthcareservices-json,1,0,560
Cross.list-simple-byid-healthcareservices-xml,1,0,554
Cross.list-simple-byid-imagingstudies,1,0,0
Cross.list-simple-byid-imagingstudies-json,1,1,0
Cross.list-simple-byid-imagingstudies-xml,1,1,0
Cross.list-simple-byid-immunizationevaluations,1,0,0
Cross.list-simple-byid-immunizationevaluations-json,1,1,0
Cross.list-simple-byid-immunizationevaluations-xml,1,1,0
Cross.list-simple-byid-immunizationrecommendations,1,0,0
Cross.list-simple-byid-immunizationrecommendations-json,1,1,0
Cross.list-simple-byid-immunizationrecommendations-xml,1,1,0
Cross.list-simple-byid-immunizations,1,0,296
Cross.list-simple-byid-immunizations-json,1,1,316
Cross.list-simple-byid-immunizations-xml,1,1,312
Cross.list-simple-byid-implementationguides,1,1,65
Cross.list-simple-byid-implementationguides-json,1,1,70
Cross.list-simple-byid-implementationguides-xml,1,1,69
Cross.list-simple-byid-insuranceplans,1,0,0
Cross.list-simple-byid-insuranceplans-json,1,0,0
Cross.list-simple-byid-insuranceplans-xml,1,1,0
Cross.list-simple-byid-invoices,1,0,0
Cross.list-simple-byid-invoices-json,1,0,0
Cross.list-simple-byid-invoices-xml,1,1,0
Cross.list-simple-byid-libraries,1,0,0
Cross.list-simple-byid-libraries-json,1,0,0
Cross.list-simple-byid-libraries-xml,1,0,0
Cross.list-simple-byid-linkages,1,0,0
Cross.list-simple-byid-linkages-json,1,1,0
Cross.list-simple-byid-linkages-xml,1,1,0
Cross.list-simple-byid-lists,1,0,232
Cross.list-simple-byid-lists-json,1,0,252
Cross.list-simple-byid-lists-xml,1,1,248
Cross.list-simple-byid-locations,1,1,675
Cross.list-simple-byid-locations-json,1,1,725
Cross.list-simple-byid-locations-xml,1,1,715
Cross.list-simple-byid-measurereports,1,0,0
Cross.list-simple-byid-measurereports-json,1,0,0
Cross.list-simple-byid-measurereports-xml,1,0,0
Cross.list-simple-byid-measures,1,1,0
Cross.list-simple-byid-measures-json,1,1,0
Cross.list-simple-byid-measures-xml,1,1,0
Cross.list-simple-byid-media,1,1,0
Cross.list-simple-byid-media-json,1,1,0
Cross.list-simple-byid-media-xml,1,1,0
Cross.list-simple-byid-medicationadministrations,1,0,196
Cross.list-simple-byid-medicationadministrations-json,1,0,206
Cross.list-simple-byid-medicationadministrations-xml,1,0,204
Cross.list-simple-byid-medicationdispenses,1,1,172
Cross.list-simple-byid-medicationdispenses-json,1,1,182
Cross.list-simple-byid-medicationdispenses-xml,1,1,180
Cross.list-simple-byid-medicationknowledges,1,0,0
Cross.list-simple-byid-medicationknowledges-json,1,0,0
Cross.list-simple-byid-medicationknowledges-xml,1,0,0
Cross.list-simple-byid-medicationrequests,1,0,252
Cross.list-simple-byid-medicationrequests-json,1,1,267
Cross.list-simple-byid-medicationrequests-xml,1,1,264
Cross.list-simple-byid-medications,1,1,1412
Cross.list-simple-byid-medications-json,1,1,1487
Cross.list-simple-byid-medications-xml,1,1,1472
Cross.list-simple-byid-medicationstatements,1,1,264
Cross.list-simple-byid-medicationstatements-json,1,1,279
Cross.list-simple-byid-medicationstatements-xml,1,1,276
Cross.list-simple-byid-medicinalproductauthorizations,1,0,0
Cross.list-simple-byid-medicinalproductauthorizations-json,1,0,0
Cross.list-simple-byid-medicinalproductauthorizations-xml,1,1,0
Cross.list-simple-byid-medicinalproductcontraindications,1,0,0
Cross.list-simple-byid-medicinalproductcontraindications-json,1,0,0
Cross.list-simple-byid-medicinalproductcontraindications-xml,1,1,0
Cross.list-simple-byid-medicinalproductindications,1,0,0
Cross.list-simple-byid-medicinalproductindications-json,1,1,0
Cross.list-simple-byid-medicinalproductindications-xml,1,1,0
Cross.list-simple-byid-medicinalproductingredients,1,0,0
Cross.list-simple-byid-medicinalproductingredients-json,1,1,0
Cross.list-simple-byid-medicinalproductingredients-xml,1,1,0
Cross.list-simple-byid-medicinalproductinteractions,1,0,0
Cross.list-simple-byid-medicinalproductinteractions-json,1,0,0
Cross.list-simple-byid-medicinalproductinteractions-xml,1,0,0
Cross.list-simple-byid-medicinalproductmanufactureds,1,0,0
Cross.list-simple-byid-medicinalproductmanufactureds-json,1,1,0
Cross.list-simple-byid-medicinalproductmanufactureds-xml,1,1,0
Cross.list-simple-byid-medicinalproductpackageds,1,0,0
Cross.list-simple-byid-medicinalproductpackageds-json,1,0,0
Cross.list-simple-byid-medicinalproductpackageds-xml,1,1,0
Cross.list-simple-byid-medicinalproductpharmaceuticals,1,0,0
Cross.list-simple-byid-medicinalproductpharmaceuticals-json,1,0,0
Cross.list-simple-byid-medicinalproductpharmaceuticals-xml,1,1,0
Cross.list-simple-byid-medicinalproducts,1,1,0
Cross.list-simple-byid-medicinalproducts-json,1,1,0
Cross.list-simple-byid-medicinalproducts-xml,1,1,0
Cross.list-simple-byid-medicinalproductundesirableeffects,1,1,0
Cross.list-simple-byid-medicinalproductundesirableeffects-json,1,1,0
Cross.list-simple-byid-medicinalproductundesirableeffects-xml,1,1,0
Cross.list-simple-byid-messagedefinitions,1,1,0
Cross.list-simple-byid-messagedefinitions-json,1,1,0
Cross.list-simple-byid-messagedefinitions-xml,1,1,0
Cross.list-simple-byid-messageheaders,1,0,0
Cross.list-simple-byid-messageheaders-json,1,0,0
Cross.list-simple-byid-messageheaders-xml,1,1,0
Cross.list-simple-byid-molecularsequences,1,0,0
Cross.list-simple-byid-molecularsequences-json,1,1,0
Cross.list-simple-byid-molecularsequences-xml,1,1,0
Cross.list-simple-byid-namingsystems,1,0,0
Cross.list-simple-byid-namingsystems-json,1,0,0
Cross.list-simple-byid-namingsystems-xml,1,0,0
Cross.list-simple-byid-nutritionorders,1,0,0
Cross.list-simple-byid-nutritionorders-json,1,0,0
Cross.list-simple-byid-nutritionorders-xml,1,0,0
Cross.list-simple-byid-observationdefinitions,1,0,0
Cross.list-simple-byid-observationdefinitions-json,1,0,0
Cross.list-simple-byid-observationdefinitions-xml,1,1,0
Cross.list-simple-byid-observations,1,0,546
Cross.list-simple-byid-observations-json,1,0,571
Cross.list-simple-byid-observations-xml,1,1,566
Cross.list-simple-byid-operationdefinitions,1,0,0
Cross.list-simple-byid-operationdefinitions-json,1,1,0
Cross.list-simple-byid-operationdefinitions-xml,1,1,0
Cross.list-simple-byid-operationoutcomes,1,0,0
Cross.list-simple-byid-operationoutcomes-json,1,1,0
Cross.list-simple-byid-operationoutcomes-xml,1,1,0
Cross.list-simple-byid-organizationaffiliations,1,0,0
Cross.list-simple-byid-organizationaffiliations-json,1,0,0
Cross.list-simple-byid-organizationaffiliations-xml,1,0,0
Cross.list-simple-byid-organizations,1,0,826
Cross.list-simple-byid-organizations-json,1,0,876
Cross.list-simple-byid-organizations-xml,1,0,866
Cross.list-simple-byid-parameters,1,0,0
Cross.list-simple-byid-parameters-json,1,0,0
Cross.list-simple-byid-parameters-xml,1,0,0
Cross.list-simple-byid-patients,1,1,1548
Cross.list-simple-byid-patients-json,1,2,1643
Cross.list-simple-byid-patients-xml,1,2,1624
Cross.list-simple-byid-paymentnotices,1,0,0
Cross.list-simple-byid-paymentnotices-json,1,0,0
Cross.list-simple-byid-paymentnotices-xml,1,0,0
Cross.list-simple-byid-paymentreconciliations,1,1,0
Cross.list-simple-byid-paymentreconciliations-json,1,1,0
Cross.list-simple-byid-paymentreconciliations-xml,1,1,0
Cross.list-simple-byid-people,1,0,0
Cross.list-simple-byid-people-json,1,0,0
Cross.list-simple-byid-people-xml,1,0,0
Cross.list-simple-byid-plandefinitions,1,0,0
Cross.list-simple-byid-plandefinitions-json,1,0,0
Cross.list-simple-byid-plandefinitions-xml,1,0,0
Cross.list-simple-byid-practitionerroles,1,1,410
Cross.list-simple-byid-practitionerroles-json,1,1,435
Cross.list-simple-byid-practitionerroles-xml,1,1,430
Cross.list-simple-byid-practitioners,1,0,472
Cross.list-simple-byid-practitioners-json,1,1,502
Cross.list-simple-byid-practitioners-xml,1,1,496
Cross.list-simple-byid-procedures,1,0,204
Cross.list-simple-byid-procedures-json,1,0,219
Cross.list-simple-byid-procedures-xml,1,1,216
Cross.list-simple-byid-provenances,1,0,0
Cross.list-simple-byid-provenances-json,1,0,0
Cross.list-simple-byid-provenances-xml,1,0,0
Cross.list-simple-byid-questionnaireresponses,1,0,0
Cross.list-simple-byid-questionnaireresponses-json,1,0,0
Cross.list-simple-byid-questionnaireresponses-xml,1,1,0
Cross.list-simple-byid-questionnaires,1,0,0
Cross.list-simple-byid-questionnaires-json,1,0,0
Cross.list-simple-byid-questionnaires-xml,1,0,0
