Fragment,Count,Time (ms),Size (bytes)
Cross.list-byid-conditions-json,1,1,151
Cross.list-byid-conditions-xml,1,1,150
Cross.list-byid-consents,1,0,0
Cross.list-byid-consents-json,1,0,0
Cross.list-byid-consents-xml,1,1,0
Cross.list-byid-contracts,1,0,0
Cross.list-byid-contracts-json,1,1,0
Cross.list-byid-contracts-xml,1,1,0
Cross.list-byid-coverageeligibilityrequests,1,0,0
Cross.list-byid-coverageeligibilityrequests-json,1,1,0
Cross.list-byid-coverageeligibilityrequests-xml,1,1,0
Cross.list-byid-coverageeligibilityresponses,1,0,0
Cross.list-byid-coverageeligibilityresponses-json,1,1,0
Cross.list-byid-coverageeligibilityresponses-xml,1,1,0
Cross.list-byid-coverages,1,1,268
Cross.list-byid-coverages-json,1,1,278
Cross.list-byid-coverages-xml,1,1,276
Cross.list-byid-detectedissues,1,0,0
Cross.list-byid-detectedissues-json,1,0,0
Cross.list-byid-detectedissues-xml,1,0,0
Cross.list-byid-devicedefinitions,1,0,0
Cross.list-byid-devicedefinitions-json,1,0,0
Cross.list-byid-devicedefinitions-xml,1,1,0
Cross.list-byid-devicemetrics,1,0,0
Cross.list-byid-devicemetrics-json,1,0,0
Cross.list-byid-devicemetrics-xml,1,0,0
Cross.list-byid-devicerequests,1,0,0
Cross.list-byid-devicerequests-json,1,0,0
Cross.list-byid-devicerequests-xml,1,0,0
Cross.list-byid-devices,1,0,137
Cross.list-byid-devices-json,1,1,142
Cross.list-byid-devices-xml,1,1,141
Cross.list-byid-deviceusestatements,1,0,0
Cross.list-byid-deviceusestatements-json,1,0,0
Cross.list-byid-deviceusestatements-xml,1,0,0
Cross.list-byid-diagnosticreports,1,0,0
Cross.list-byid-diagnosticreports-json,1,1,0
Cross.list-byid-diagnosticreports-xml,1,1,0
Cross.list-byid-documentmanifests,1,0,0
Cross.list-byid-documentmanifests-json,1,0,0
Cross.list-byid-documentmanifests-xml,1,1,0
Cross.list-byid-documentreferences,1,0,0
Cross.list-byid-documentreferences-json,1,0,0
Cross.list-byid-documentreferences-xml,1,0,0
Cross.list-byid-domainresources,1,1,0
Cross.list-byid-domainresources-json,1,1,0
Cross.list-byid-domainresources-xml,1,1,0
Cross.list-byid-effectevidencesyntheses,1,0,0
Cross.list-byid-effectevidencesyntheses-json,1,1,0
Cross.list-byid-effectevidencesyntheses-xml,1,1,0
Cross.list-byid-encounters,1,0,292
Cross.list-byid-encounters-json,1,0,302
Cross.list-byid-encounters-xml,1,0,300
Cross.list-byid-endpoints,1,0,234
Cross.list-byid-endpoints-json,1,0,244
Cross.list-byid-endpoints-xml,1,1,242
Cross.list-byid-enrollmentrequests,1,0,0
Cross.list-byid-enrollmentrequests-json,1,0,0
Cross.list-byid-enrollmentrequests-xml,1,0,0
Cross.list-byid-enrollmentresponses,1,0,0
Cross.list-byid-enrollmentresponses-json,1,1,0
Cross.list-byid-enrollmentresponses-xml,1,1,0
Cross.list-byid-episodeofcares,1,0,0
Cross.list-byid-episodeofcares-json,1,1,0
Cross.list-byid-episodeofcares-xml,1,1,0
Cross.list-byid-eventdefinitions,1,0,0
Cross.list-byid-eventdefinitions-json,1,1,0
Cross.list-byid-eventdefinitions-xml,1,1,0
Cross.list-byid-evidences,1,0,0
Cross.list-byid-evidences-json,1,0,0
Cross.list-byid-evidences-xml,1,0,0
Cross.list-byid-evidencevariables,1,0,0
Cross.list-byid-evidencevariables-json,1,0,0
Cross.list-byid-evidencevariables-xml,1,0,0
Cross.list-byid-examplescenarios,1,0,0
Cross.list-byid-examplescenarios-json,1,0,0
Cross.list-byid-examplescenarios-xml,1,1,0
Cross.list-byid-explanationofbenefits,1,0,0
Cross.list-byid-explanationofbenefits-json,1,0,0
Cross.list-byid-explanationofbenefits-xml,1,0,0
Cross.list-byid-familymemberhistories,1,0,0
Cross.list-byid-familymemberhistories-json,1,0,0
Cross.list-byid-familymemberhistories-xml,1,0,0
Cross.list-byid-flags,1,0,0
Cross.list-byid-flags-json,1,0,0
Cross.list-byid-flags-xml,1,1,0
Cross.list-byid-goals,1,0,0
Cross.list-byid-goals-json,1,0,0
Cross.list-byid-goals-xml,1,0,0
Cross.list-byid-graphdefinitions,1,0,0
Cross.list-byid-graphdefinitions-json,1,0,0
Cross.list-byid-graphdefinitions-xml,1,1,0
Cross.list-byid-groups,1,0,0
Cross.list-byid-groups-json,1,1,0
Cross.list-byid-groups-xml,1,1,0
Cross.list-byid-guidanceresponses,1,0,0
Cross.list-byid-guidanceresponses-json,1,0,0
